tx_hash,timestamp,gas_used_gwei,gas_price_gwei,value_sent_eth,total_cost_eth,data_inputs,eth_price_est
0x9f576848eccdca6aaaa097c93db6971e92ba0cc74bc07bb4ba753dafd7c67cad,1618340981,42509,165,1,0.007013985,1,2282
0x5f3bd72a0a214d9d0f40632939ac229e575cc85bd6827757a1e3bcd1775f716c,1618341118,42509,153,1,0.006503877,4,2285
0x26a32b9621ff0a098d434bc057d64839bd8208d2402777868dcb0b3825a56dd3,1618341175,42509,165,1,0.007013985,4,2285
0x420380a72dbbed569060fedfb348ee78a48cd686fcdfba3ed93a20dc72c5488b,1618341223,42509,146,1,0.006206314,4,2285
0x7b0d5822650745062c2afc65a695e0f0d4d9caa835e925807dfc8fbe98ab3690,1618341314,42509,152,1,0.006461368,4,2281
0xb09425305bc3a866d9381cca06347caa5829d71862b20394d4bde1c9bdff2e7a,1618341346,42509,158,1,0.006716422,4,2280
0x549da963214280c2b9782b32fb3ad7225a85f0fe8d7ca667145c43edae5e1766,1618341368,42509,152,1,0.006461368,4,2280
0x4a6c492eb3d5602c40142ccfa45e93d065a650c04d065d37c8079071e9b0dc21,1618341398,42509,152,1,0.006461368,4,2277
0xcfb18be5e00799089d151bdf38d3f40939c5809986b1a2c35815685cc7a10426,1618341488,42509,207,1,0.008799363,4,2281
0x60a52c7c2e5e39ff29774520e090b9fceb2a79ba4540ff354d8e533ad38cfde4,1618341702,42509,138,1,0.005866242,4,2285
