tx_hash,timestamp,gas_used_gwei,gas_price_gwei,value_sent_eth,total_cost_eth,data_inputs,eth_price_est,ticket_count
0x37276b03d606988f5fde07ce5255aa7d5174b1c5b3a9cc66c01617945a99a7ad,1618338891,1787578,153,0,0.273499434,4,2305,1
0x1a21638578843bee0549c8822fc5d99d2143feb0d07284d9fd1627634ac100f1,1618338956,2185285,229,0,0.500430265,4,2298,4
0x77e778a2fc4c63c4169370f28f2f6111804419a82081951b7632af469905ee9b,1618339002,2583001,208,0,0.537264208,4,2297,7
0xe4c2ad9a61ad6ea25439f3c8f56bbed433cbded7285cac3055bd73ce88a078c2,1618339060,2980738,214,0,0.637877932,4,2300,10
0xb2b4a427e2686220d63ac9d6e26c13b5f1551e847403000d7ba19ee34d7c2adb,1618339116,3378472,155,0,0.52366316,4,2303,13
0x5177951f1e311afe976287fc0aea2f322749e9a58031d1698ad045e394f9fcf7,1618339308,3776215,166,0,0.62685169,4,2298,16
0x259090df4555c49489bee0089d9d8751d6d360dff4dea110e5ed7dac18779f45,1618339341,4173967,183,0,0.763835961,4,2298,19
0x0e196ffad4e4eb6b391c7af17039c0c8a13755219a784a711aedd223647ea674,1618339380,4571728,164,0,0.749763392,4,2298,22
0x90bdf7d013b117e4ff593abd50002aee7740c54a0f80195d69953d3241dd755c,1618339478,4969498,175,0,0.86966215,4,2294,25
0xd0d65b1fe0c095042229a1669c8fcc1029b6c63f95a1fedd50a26058760b3887,1618339520,5367277,160,0,0.85876432,4,2294,28
