tx_hash,timestamp,gas_used_gwei,gas_price_gwei,value_sent_eth,total_cost_eth,data_inputs,eth_price_est
0x62ce0a1ece2be31915ef64a9d9914ecfa7075291707aad46e30892728c241ac0,1618339900,65929,186,0,0.012262794,1,2282
0xeddc2c5fd15781da34f5683088bf456a6dc72eca4fc19e5a42c135a6d183e704,1618339945,65929,158,0,0.010416782,1,2284
0x6cacbbf501e736f0b076e1ca141daa2c77fc0fa40b1474eb5930fd2c33228605,1618340019,65929,183,0,0.012065007,1,2282
0x96c3601740af134c17257591773fb4f1134d5507a688edf01433ac549c33cd9a,1618340067,65929,183,0,0.012065007,1,2282
0x49102b4d651f6463a5a178f0fb4788fa35b90364da727b070776286b1f395e31,1618340104,65929,210,0,0.01384509,1,2282
0x9acd0d4b395cc509352692bad7f966542886ee7b05e1ccce8ef54cb8f93a6c19,1618340140,65929,210,0,0.01384509,1,2278
0x17a6bf0e0e7190a5c761a69dfd2d05eec381f56e26c0cca5f9c08d496480519c,1618340166,65929,186,0,0.012262794,1,2278
0xc0cccd47a6792b17d6e2db86d4dc063ac5f8cd50a8403c8fab4934fe4faebe08,1618340191,65929,152,0,0.010021208,1,2271
0x6957a883cb865e0ed8f9af3071dfac2c139840978722d4ee0ce765a0df6861b9,1618340219,65929,155,0,0.010218995,1,2271
0x8e0a4d744ef74ba9587eb671b2df524959159f66553357cd8d861a2423e5da26,1618340250,65929,168,0,0.011076072,1,2271
